Order Date,Region,State,Category,Sub-Category,Product Name,Sales,Profit,Quantity,Discount,Customer Segment,Ship Mode
04/03/2022,East,New York,Technology,Accessories,Kensington Keyboard,89.95,17.49,3,0.8,Home Office,Standard Class
04/22/2022,South,Florida,Furniture,Bookcases,Hon Metal Bookcase,156.07,-20.4,9,0.6,Home Office,Same Day
11/23/2021,West,Idaho,Technology,Accessories,Logitech Wireless Mouse,3595.98,-563.53,12,0.3,Corporate,Standard Class
05/21/2024,East,Vermont,Furniture,Tables,Chromcraft Round Table,3310.82,237.51,5,0,Corporate,Standard Class
04/04/2021,Central,Nebraska,Office Supplies,Paper,Xerox Copy Paper,1917.84,654.24,11,0.1,Consumer,Standard Class
01/29/2023,South,Virginia,Office Supplies,Envelopes,Poly Mailer Bundle,908.3,155.4,6,0.1,Home Office,Standard Class
08/05/2023,West,Montana,Technology,Machines,HP LaserJet Printer,7067.07,946.99,7,0.15,Home Office,Second Class
04/02/2023,Central,Texas,Furniture,Bookcases,Bush Wood Bookcase,1028.32,324.69,5,0,Home Office,First Class
06/27/2022,West,Idaho,Office Supplies,Supplies,X-Acto Cutting Mat,504.24,37.0,3,0.1,Home Office,Same Day
07/06/2021,South,Tennessee,Furniture,Chairs,Novimex Swivel Chair,10111.02,-1600.53,13,0,Consumer,Same Day
02/08/2024,East,Vermont,Office Supplies,Supplies,Swingline Stapler,2389.94,-433.22,14,0,Home Office,First Class
07/19/2023,Central,Illinois,Office Supplies,Fasteners,Bostitch Push Pins,43.84,-4.03,1,0.8,Home Office,Second Class
02/05/2023,East,Connecticut,Technology,Machines,HP LaserJet Printer,8593.96,1866.4,13,0,Home Office,Standard Class
09/22/2022,Central,Iowa,Furniture,Bookcases,Bush Wood Bookcase,927.87,83.89,4,0,Consumer,Standard Class
09/13/2024,South,Georgia,Technology,Machines,HP LaserJet Printer,892.79,59.46,8,0.5,Home Office,Same Day
03/29/2023,West,Montana,Technology,Machines,Brother Fax Machine,1540.78,446.47,11,0.7,Corporate,Standard Class
04/19/2024,West,Nevada,Furniture,Tables,Bretford Conference Table,4356.4,-1070.3,9,0.1,Home Office,Standard Class
11/19/2023,West,Washington,Furniture,Tables,Bretford Conference Table,2069.58,-251.37,4,0.15,Consumer,Same Day
07/18/2021,West,Idaho,Office Supplies,Paper,Xerox Copy Paper,691.97,-2.31,11,0.3,Home Office,Standard Class
05/25/2022,East,New York,Office Supplies,Envelopes,Kraft Envelope Pack,486.0,-80.62,4,0.1,Consumer,First Class
